_id,date,gender,race,agebook,agecurr
419,2018-01-01,M,B,23,23
420,2018-01-01,M,W,63,63
421,2018-01-01,M,B,24,24
422,2018-01-01,M,B,36,36
423,2018-01-01,M,B,19,19
424,2018-01-01,M,W,45,45
425,2018-01-01,M,W,53,53
426,2018-01-01,M,B,29,29
427,2018-01-01,M,B,21,21
428,2018-01-01,M,B,26,26
429,2018-01-01,M,B,33,33
430,2018-01-01,M,W,36,36
431,2018-01-01,M,B,24,26
432,2018-01-01,M,W,27,29
433,2018-01-01,M,W,37,38
434,2018-01-01,M,B,29,30
435,2018-01-01,M,W,39,40
436,2018-01-01,M,B,27,29
437,2018-01-01,M,W,35,36
438,2018-01-01,M,B,43,44
439,2018-01-01,M,W,27,28
440,2018-01-01,M,B,28,29
441,2018-01-01,M,W,39,40
442,2018-01-01,M,W,20,21
443,2018-01-01,M,B,19,20
444,2018-01-01,M,B,20,21
445,2018-01-01,M,W,25,25
446,2018-01-01,M,B,48,48
447,2018-01-01,M,B,36,36
448,2018-01-01,M,W,30,31
449,2018-01-01,M,B,26,26
450,2018-01-01,M,B,29,30
451,2018-01-01,M,B,46,47
452,2018-01-01,M,B,69,70
453,2018-01-01,M,B,20,20
454,2018-01-01,M,B,22,23
455,2018-01-01,M,B,20,20
456,2018-01-01,M,B,33,33
457,2018-01-01,M,B,20,21
458,2018-01-01,M,B,18,18
459,2018-01-01,M,B,29,29
460,2018-01-01,M,W,34,34
461,2018-01-01,M,B,26,26
462,2018-01-01,M,W,39,39
463,2018-01-01,M,B,31,31
464,2018-01-01,M,W,63,63
465,2018-01-01,M,B,21,21
466,2018-01-01,M,B,24,24
467,2018-01-01,M,W,25,25
468,2018-01-01,M,W,41,41
469,2018-01-01,M,W,51,51
470,2018-01-01,M,B,38,38
471,2018-01-01,M,W,26,26
472,2018-01-01,M,B,41,41
473,2018-01-01,M,W,33,33
474,2018-01-01,M,B,28,28
475,2018-01-01,M,W,22,22
476,2018-01-01,M,B,63,64
477,2018-01-01,M,B,19,20
478,2018-01-01,M,B,52,52
479,2018-01-01,M,W,36,36
480,2018-01-01,M,B,46,46
481,2018-01-01,M,W,57,58
482,2018-01-01,M,W,40,40
483,2018-01-01,M,W,28,29
484,2018-01-01,M,B,45,46
485,2018-01-01,M,B,54,54
486,2018-01-01,M,B,32,33
487,2018-01-01,M,W,51,51
488,2018-01-01,M,W,37,37
489,2018-01-01,M,W,38,38
490,2018-01-01,M,W,31,32
491,2018-01-01,M,W,29,29
492,2018-01-01,M,B,29,29
493,2018-01-01,M,W,23,23
494,2018-01-01,M,W,30,30
495,2018-01-01,M,W,34,34
496,2018-01-01,M,W,33,34
497,2018-01-01,M,W,35,35
498,2018-01-01,M,B,36,36
499,2018-01-01,M,W,22,22
500,2018-01-01,M,W,25,25
501,2018-01-01,M,B,20,20
502,2018-01-01,M,B,47,47
503,2018-01-01,M,B,48,48
504,2018-01-01,M,B,20,20
505,2018-01-01,M,B,28,28
506,2018-01-01,M,W,21,21
507,2018-01-01,M,W,36,36
508,2018-01-01,M,B,18,18
509,2018-01-01,M,W,29,29
510,2018-01-01,M,B,35,35
511,2018-01-01,M,B,54,54
512,2018-01-01,M,B,22,22
513,2018-01-01,M,W,18,18
514,2018-01-01,M,B,28,28
515,2018-01-01,M,B,26,26
516,2018-01-01,M,B,31,31
517,2018-01-01,M,W,29,29
518,2018-01-01,M,B,22,22
519,2018-01-01,M,W,40,40
520,2018-01-01,M,W,64,64
521,2018-01-01,M,B,31,31
522,2018-01-01,M,B,55,55
523,2018-01-01,M,B,22,22
524,2018-01-01,M,B,20,20
525,2018-01-01,M,B,59,59
526,2018-01-01,M,B,34,34
527,2018-01-01,M,W,57,57
528,2018-01-01,M,W,59,66
529,2018-01-01,M,B,40,41
530,2018-01-01,M,B,19,21
531,2018-01-01,M,W,23,25
532,2018-01-01,M,B,24,25
533,2018-01-01,M,B,24,25
534,2018-01-01,M,B,32,33
535,2018-01-01,M,B,52,53
536,2018-01-01,M,B,62,63
537,2018-01-01,M,W,30,31
538,2018-01-01,M,W,47,48
